OPEID6,UnitID,Institution,County
31444,422835.0,American College of Healthcare and Technology-Santa Ana,Orange
32423,433013.0,Career Networks Institute,Orange
32503,439367.0,CBD College,Los Angeles
32993,422695.0,Pacific College,Orange
33673,437750.0,Professional Golfers Career College,Riverside
34223,437778.0,Milan Institute-Bakersfield,Kern
34404,411684.0,Marian Health Careers Center-Los Angeles Campus,Los Angeles
34793,439871.0,PCI College,Los Angeles
35324,444361.0,ATA College,San Diego
35424,395362.0,Copper Mountain Community College,San Bernardino
35773,112455.0,Coba Academy,Orange
35904,443207.0,NTMA Training Centers of Southern California,Los Angeles
36393,441229.0,Smith Chason College,Los Angeles
36463,441256.0,Design's School of Cosmetology,San Luis Obispo
36813,442985.0,California Healing Arts College,Los Angeles
36953,444510.0,CES College,Los Angeles
36957,399212.0,Santiago Canyon College,Orange
37363,400187.0,Advance Beauty College,Orange
37404,444325.0,ATI College-Whittier,Los Angeles
37593,444529.0,Stellar Career College,Stanislaus
37974,446118.0,Career Care Institute,Los Angeles
38713,444219.0,Folsom Lake College,Sacramento
38743,446093.0,Sutter County Career Training Center,Sutter
38744,446163.0,Community Christian College,San Bernardino
38893,446561.0,Stanbridge University,Orange
39104,447759.0,National Polytechnic College,Los Angeles
39353,455734.0,California Nurses Educational Institute,Riverside
39644,113449.0,International School of Beauty Inc,Riverside
39696,393649.0,UEI College-Sacramento,Sacramento
39713,447768.0,American Career College-Ontario,San Bernardino
39993,449357.0,Beaumont Adult School,Riverside
40013,447731.0,Los Angeles College of Aesthetics,Los Angeles
40033,447810.0,Blake Austin College,Solano
40144,447722.0,Palladium Technical Academy Inc,Los Angeles
40573,447777.0,Asher College,Sacramento
40923,450988.0,Coastline Beauty College,Orange
41113,448594.0,Lemoore College,Kings
41145,449445.0,Valley College of Medical Careers,Los Angeles
41153,449393.0,Coachella Valley Beauty College-Hemet,Riverside
41156,454698.0,Mayfield College,Riverside
41188,461148.0,New York Film Academy,Los Angeles
41324,454722.0,Academy of Esthetics and Cosmetology,Los Angeles
41327,450960.0,Healthcare Career College,Los Angeles
41387,454768.0,Paul Mitchell the School-Pasadena,Los Angeles
41413,454777.0,San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco
41414,454786.0,Laurus College,San Luis Obispo
41417,454795.0,Healing Hands School of Holistic Health,San Diego
41438,455512.0,Woodland Community College,Yolo
41442,454801.0,Career Development Institute Inc,Los Angeles
41456,461175.0,International College of Cosmetology,Alameda
41460,455868.0,National Career College,Los Angeles
41482,457253.0,Beyond 21st Century Beauty Academy,Los Angeles
41497,457086.0,Homestead Schools,Los Angeles
41528,455761.0,Paul Mitchell the School-Sacramento,Sacramento
41582,449986.0,Paul Mitchell the School-Sherman Oaks,Los Angeles
41597,461263.0,American Medical Sciences Center,Los Angeles
41604,457299.0,Angeles College,Los Angeles
41628,459170.0,Paul Mitchell the School-Modesto,Stanislaus
41644,457314.0,Angeles Institute,Los Angeles
41659,459198.0,Paul Mitchell the School-Fresno,Fresno
41670,457323.0,Paul Mitchell the School-Temecula,Riverside
41697,459204.0,Unitek College,Alameda
41698,459213.0,Gurnick Academy of Medical Arts,Santa Clara
41734,461500.0,Santa Ana Beauty Academy,Orange
41735,460394.0,Moreno Valley College,Riverside
41752,459231.0,Paul Mitchell the School-East Bay,Contra Costa
41754,461607.0,Elite Cosmetology School,Riverside
41761,460464.0,Norco College,Riverside
41800,461829.0,Cinta Aveda Institute,San Francisco
41812,461856.0,Southern California Health Institute,Los Angeles
41954,479424.0,Unitek College,San Mateo
42817,112686.0,Compton College,Los Angeles
